mobile_wt,ram_gb,fc,pc,num_rear_cameras,battery_power,screen_size,launched_year,price_range,brand_Apple,brand_Google,brand_Honor,brand_Huawei,brand_Infinix,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_POCO,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi
190.0,8.0,32.0,50.0,2,4500.0,6.43,2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
189.0,4.0,16.0,13.0,2,5000.0,6.49,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
185.0,4.0,8.0,13.0,2,5000.0,6.52,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
188.0,12.0,16.0,48.0,2,4500.0,6.55,2020,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192.0,8.0,16.0,50.0,2,4500.0,6.55,2021,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
188.0,12.0,16.0,48.0,2,4500.0,6.55,2020,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
189.0,8.0,16.0,48.0,2,4500.0,6.55,2021,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
199.0,12.0,16.0,48.0,2,4510.0,6.78,2020,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180.0,8.0,16.0,48.0,2,4300.0,6.55,2020,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
195.0,6.0,16.0,64.0,2,5000.0,6.59,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
173.0,8.0,16.0,64.0,2,4500.0,6.43,2022,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
184.0,6.0,16.0,48.0,2,4115.0,6.44,2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170.0,6.0,16.0,64.0,2,4500.0,6.43,2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
189.0,8.0,32.0,50.0,2,4500.0,6.43,2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190.0,6.0,16.0,64.0,2,4300.0,6.49,2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192.0,8.0,16.0,48.0,2,4300.0,6.55,2020,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190.0,6.0,16.0,48.0,2,3700.0,6.41,2020,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
185.0,10.0,16.0,20.0,2,3700.0,6.41,2018,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
162.0,6.0,16.0,20.0,2,3300.0,6.01,2017,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210.0,8.0,16.0,50.0,2,4500.0,6.7,2023,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
202.0,12.0,32.0,50.0,2,5000.0,6.7,2023,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
205.0,8.0,16.0,50.0,2,4500.0,6.7,2022,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
206.0,12.0,16.0,48.0,2,4000.0,6.67,2019,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177.0,6.0,16.0,20.0,2,3300.0,6.28,2018,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
155.0,8.0,16.0,20.0,2,3300.0,5.5,2017,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190.0,8.0,32.0,64.0,2,4000.0,6.44,2020,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
199.0,12.0,16.0,48.0,2,4510.0,6.78,2020,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
188.0,12.0,16.0,48.0,2,4500.0,6.55,2020,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
206.0,12.0,16.0,48.0,2,4085.0,6.67,2019,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210.0,12.0,32.0,50.0,2,5000.0,6.7,2023,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
202.0,8.0,16.0,64.0,2,4800.0,6.55,2023,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
